,Coefficient,P-Value,Odds Ratios
Intercept,-3.1034395002751034,0.0,0.04489452181397133
C(hotel)[T.Resort Hotel],-0.059172437104476984,0.0018996390497822055,0.942544225546133
C(meal)[T.FB],0.3564675979316,0.0005865757445867001,1.428275250696522
C(meal)[T.HB],-0.3594354348099774,1.5469098436001073e-45,0.6980703210460927
C(meal)[T.SC],0.40070461171919197,3.273959146115742e-58,1.4928762252220316
C(meal)[T.Undefined],-0.6561048119493681,2.1223743401818225e-11,0.5188684936905249
C(distribution_channel)[T.Direct],-0.6127914148466312,5.16050498441632e-38,0.5418362663174282
C(distribution_channel)[T.GDS],-0.6584614889405942,0.000537275590940495,0.5176471279974668
C(distribution_channel)[T.TA/TO],0.28067376073124495,2.078125992319257e-11,1.3240215856345086
C(is_repeated_guest)[T.1],-0.7505061645457954,1.8590416149445428e-20,0.47212751803994646
C(reserved_room_type)[T.B],0.40692376487513277,2.9210674182570135e-08,1.502189581686297
C(reserved_room_type)[T.C],-0.023394239002384246,0.7832723801022461,0.9768772847218408
C(reserved_room_type)[T.D],0.039599859553046166,0.060316204191121534,1.0403943870162395
C(reserved_room_type)[T.E],0.024290471325638514,0.4723574687167914,1.0245878880728083
C(reserved_room_type)[T.F],-0.3532256400065291,1.2489257492644078e-10,0.7024186817386968
C(reserved_room_type)[T.G],-0.28246129906602757,8.264516866259432e-06,0.7539258190280697
C(reserved_room_type)[T.H],-0.2540649366873987,0.00998577850019897,0.7756414328258316
C(deposit_type)[T.Non Refund],5.140253097501712,0.0,170.758981524134
C(deposit_type)[T.Refundable],0.40050530057612516,0.05057292700762623,1.4925787080053585
C(customer_type)[T.Group],0.023132490339474003,0.8887519782716302,1.023402121459863
C(customer_type)[T.Transient],1.2517647471102133,1.960715544968033e-130,3.4965079683522613
C(customer_type)[T.Transient-Party],0.4716012641905783,3.1097788996053246e-18,1.6025582589495466
lead_time,0.0037304178990296664,0.0,1.003737384568049
stays_in_weekend_nights,0.043753002842902296,3.5244609597702665e-07,1.0447242790908753
stays_in_week_nights,0.051188197920483854,3.453708880529041e-29,1.0525209569003933
adults,0.09550854489921642,4.416199454577441e-11,1.1002182232476028
children,0.1930189206859092,9.005270734797315e-17,1.212905742310603
babies,0.08733763397520597,0.2811360707106608,1.0912650656871
previous_cancellations,2.843473018292321,0.0,17.17531224749697
previous_bookings_not_canceled,-0.5246570656554828,7.829234902776219e-97,0.5917582638065446
booking_changes,-0.3900476471945454,2.783347443222501e-147,0.6770246154060809
adr,0.0060863204238535,9.585149562270767e-224,1.0061048797054777
total_of_special_requests,-0.6014779021040445,0.0,0.548001145282879
